city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
临夏州,85,38,63,0.5,27,104,140,15
临沂,73,32,94,2.37,47,49,110,15
林芝,46,5,28,0.45,6,102,91,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,67,48,69,0.67,15,132,105,6
六盘水,62,34,71,0.48,21,87,102,13
柳州,42,19,32,0.52,12,68,82,4
溧阳,51,21,29,0.95,22,71,100,13
陇南,111,83,115,0.8,22,110,131,10
龙岩,54,22,55,0.68,27,61,83,5
娄底,48,25,47,1.26,15,68,81,14
六安,71,44,73,0.57,21,118,123,5
漯河,64,30,75,0.8,18,80,113,7
洛阳,76,12,24,0.87,20,95,130,6
泸州,134,35,78,0.4,54,127,196,16
吕梁,65,41,58,2.3,80,40,116,64
马鞍山,70,34,86,0.68,40,63,122,10
茂名,26,7,25,0.43,6,33,48,5
眉山,172,60,117,1.1,78,123,236,18
梅州,47,20,37,0.83,19,79,93,5
绵阳,134,67,97,0.95,81,93,196,8
牡丹江,83,49,113,0.9,52,52,99,4
南昌,54,8,40,0.8,21,76,103,13
南充,125,45,77,1.07,76,95,186,9
南京,70,25,62,0.74,48,73,122,12
南宁,39,20,38,0.8,20,54,68,8
南平,55,28,57,0.83,27,49,100,5
南通,145,59,115,0.82,63,126,208,23
南阳,69,29,76,0.72,18,97,121,5
那曲地区,63,33,73,0.53,9,82,92,4
内江,131,58,150,0.8,68,115,193,16
宁波,65,36,54,0.68,24,81,116,8
宁德,81,13,45,0.9,21,61,135,8
怒江州,59,30,66,1.1,24,63,84,14
盘锦,80,23,0,0.77,11,102,134,8
攀枝花,68,33,71,0.94,50,79,120,17
蓬莱,54,28,56,0.65,35,56,102,5
平顶山,75,47,97,0.85,19,85,111,6
平度,56,39,59,0.6,17,53,66,6
平凉,106,47,97,0.6,24,136,165,10
萍乡,44,15,26,0.48,12,78,87,7
普洱,74,30,52,0.4,26,98,127,8
莆田,41,16,38,0.6,25,30,81,11
濮阳,57,20,21,0.77,15,127,107,7
黔东南州,61,25,57,0.45,8,107,111,2
黔南州,67,9,28,0.2,7,113,119,5
黔西南州,63,13,39,0.65,18,91,114,1
青岛,63,44,70,0.31,21,82,72,19
庆阳,87,35,76,0.6,18,131,143,6
清远,66,26,51,0.67,48,46,118,12
秦皇岛,60,34,67,0.76,36,75,108,8
钦州,37,13,36,0.73,14,39,53,10
齐齐哈尔,100,68,148,1.1,29,116,133,9
七台河,138,44,94,0.3,11,161,200,10
泉州,28,7,27,0.47,13,21,51,8
曲靖,66,19,45,0.55,12,99,117,10
衢州,64,39,75,0.73,39,60,96,10
日喀则,85,34,114,0.6,3,135,140,5
日喀则地区,29,6,27,0.35,2,68,56,5
日照,63,44,71,0.5,28,73,74,10
荣成,32,8,12,0.55,15,62,63,7
乳山,29,9,17,0.5,12,60,56,5
三门峡,56,13,51,0.7,24,98,106,6
三明,49,27,47,0.83,43,26,97,10
三沙,30,7,20,0.3,30,51,58,6
三亚,19,10,17,0.6,7,36,37,2
上海,123,44,71,0.65,38,101,184,16
商洛,45,22,44,0.5,27,42,86,2
商丘,60,26,68,0.7,13,82,96,7
上饶,58,32,63,1.0,9,66,94,5
山南,88,18,27,0.65,9,149,144,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,29,12,28,0.63,16,34,52,9
汕尾,27,14,16,0.67,7,44,53,8
韶关,91,31,48,0.86,28,154,147,14
绍兴,80,44,107,0.57,23,104,133,5
邵阳,52,34,52,0.56,15,67,80,13
沈阳,60,14,68,0.91,19,72,107,23
深圳,27,14,23,0.41,28,31,52,7
石河子,52,16,34,0.8,27,87,101,8
石家庄,106,79,153,1.09,42,61,95,15
十堰,58,36,63,0.78,19,80,107,11
石嘴山,134,54,120,0.73,62,151,196,16
寿光,49,12,25,1.25,6,80,96,12
双鸭山,78,19,38,0.38,11,112,132,3
朔州,120,90,164,1.28,27,187,178,19
四平,100,51,109,0.53,8,103,158,3
松原,183,59,314,0.85,8,182,221,8
绥化,87,56,122,0.85,18,80,122,10
遂宁,114,36,88,1.02,76,90,174,14
随州,63,22,51,0.53,8,108,114,4
宿迁,71,25,53,0.48,20,89,123,10
苏州,92,48,90,0.65,47,123,149,7
宿州,71,42,61,0.53,24,102,123,8
塔城地区,96,13,0,1.5,18,143,153,5
泰安,66,23,57,0.67,16,76,117,2
太仓,128,37,79,0.65,40,116,189,14
太原,99,54,125,0.88,31,130,157,9
台州,56,17,28,0.37,8,63,106,5
泰州,76,33,78,0.9,48,105,129,14
唐山,110,82,147,3.1,80,37,104,56
天津,87,64,81,1.17,47,54,97,11
天水,89,44,69,0.5,14,123,145,7
铁岭,51,17,42,0.43,14,70,100,13
铜川,99,42,95,1.48,46,92,157,11
通化,67,21,73,0.9,21,82,119,10
通辽,118,60,138,0.65,12,153,178,8
铜陵,53,27,53,0.62,32,63,79,17
铜仁地区,49,7,46,0.55,13,82,97,13
吐鲁番地区,147,56,242,0.6,16,46,46,8
瓦房店,37,14,0,0.35,13,73,72,3
潍坊,82,60,84,0.56,34,72,92,6
威海,48,33,45,0.43,28,42,53,6
渭南,91,23,71,0.75,44,60,148,21
文登,30,17,29,0.6,21,41,50,3
文山州,62,27,48,0.6,11,104,113,5
温州,45,20,44,0.65,14,42,74,6
乌海,157,59,180,0.63,14,193,221,11
武汉,54,24,56,0.63,36,59,89,5
芜湖,61,26,49,0.73,18,92,112,5
吴江,97,50,96,1.0,49,102,155,10
五家渠,60,24,38,0.0,13,105,110,11
乌兰察布,126,43,112,0.5,23,170,187,29
乌鲁木齐,50,17,34,0.84,27,98,99,9
武威,99,48,145,0.4,11,103,124,3
无锡,98,29,63,0.64,36,109,156,10
吴忠,121,91,182,0.87,65,66,122,14
梧州,60,32,67,0.93,27,46,72,7
厦门,22,8,16,0.3,21,28,42,7
西安,105,27,58,0.92,42,83,164,7
湘潭,48,25,47,0.84,25,61,79,17
湘西州,60,42,63,0.95,22,34,82,3
襄阳,76,27,70,0.87,14,106,130,10
咸宁,50,22,35,0.98,10,88,98,1
咸阳,125,32,123,0.88,65,65,186,9
孝感,70,28,56,0.8,3,93,122,8
锡林郭勒盟,100,31,131,0.3,17,103,159,8
兴安盟,90,65,127,5.8,24,113,137,33
邢台,52,19,51,0.8,42,49,77,12
西宁,120,46,188,0.85,27,132,135,10
新乡,86,30,49,0.95,20,107,142,13
信阳,75,37,57,0.48,9,123,128,6
新余,55,32,58,0.84,15,65,91,41
忻州,119,89,139,1.1,45,101,174,9
西双版纳州,60,22,56,0.65,13,78,110,9
宣城,59,30,66,0.5,35,51,74,5
许昌,61,28,66,0.83,14,89,111,5
徐州,64,36,62,0.77,21,83,115,10
雅安,130,72,116,0.75,37,168,191,16
延安,81,57,70,1.3,40,96,135,9
延边州,80,57,108,0.8,38,93,129,9
盐城,80,31,57,0.8,33,89,134,11
阳江,25,8,13,0.57,7,41,48,6
阳泉,144,110,160,1.77,22,127,159,10
扬州,67,31,81,0.93,43,99,104,11
烟台,41,27,40,0.45,19,57,68,6
宜宾,165,56,118,1.23,62,121,229,21
宜昌,51,16,50,0.7,27,81,97,7
宜春,53,30,53,0.88,29,53,88,15
伊春,42,17,28,0.37,12,60,82,3
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,53,16,23,0.4,15,96,102,7
银川,97,43,132,0.93,78,75,155,24
营口,60,11,33,0.48,10,89,110,4
鹰潭,53,26,46,0.3,14,82,102,7
义乌,66,47,73,1.0,70,30,91,8
宜兴,106,29,91,0.85,53,69,165,16
益阳,49,12,42,0.74,11,77,96,4
永州,55,33,57,0.46,19,66,73,8
岳阳,59,19,42,0.57,13,90,109,11
玉林,54,24,32,0.65,12,76,103,19
榆林,101,50,95,1.0,19,129,160,6
运城,96,29,48,0.74,16,125,154,8
云浮,36,18,32,0.53,14,53,71,9
玉树州,62,3,13,0.2,5,121,113,5
玉溪,58,18,57,0.67,19,100,108,8
枣庄,67,32,82,0.58,26,97,119,9
张家港,123,41,94,0.65,33,150,184,16
张家界,47,26,46,0.7,19,65,82,7
张家口,121,77,116,1.22,24,141,181,11
章丘,46,18,34,0.35,12,86,90,7
张掖,70,31,88,0.5,5,109,105,5
漳州,50,16,49,0.57,22,34,77,6
湛江,31,12,22,0.58,5,39,61,4
肇庆,39,14,32,0.45,14,45,76,10
昭通,65,16,46,0.4,14,103,116,8
招远,56,26,59,0.8,11,72,53,5
郑州,86,15,63,0.6,17,113,141,5
镇江,76,39,62,0.88,33,123,130,4
中山,32,9,24,0.5,10,35,63,5
中卫,90,65,128,0.53,18,93,115,13
周口,59,22,53,0.7,12,96,109,7
舟山,32,14,31,0.63,16,48,63,7
珠海,29,10,20,0.45,10,50,56,2
诸暨,0,0,0,0.0,0,0,0,0
驻马店,65,38,65,0.5,17,98,116,10
株洲,48,33,44,0.45,14,68,81,9
淄博,46,23,29,1.12,21,77,90,8
自贡,157,52,88,1.13,70,131,221,9
资阳,125,29,76,0.86,51,111,186,9
遵义,79,37,88,0.8,35,99,133,14
