['48', 'AQI', '3', 'PM2.5/1h', '9', 'PM10/1h', '0.5', 'CO/1h', '9', 'NO2/1h', '82', 'O3/1h', '94', 'O3/8h', '5', 'SO2/1h', '阿坝州']
['76', 'AQI', '31', 'PM2.5/1h', '80', 'PM10/1h', '0.86', 'CO/1h', '28', 'NO2/1h', '112', 'O3/1h', '130', 'O3/8h', '6', 'SO2/1h', '长春']
['66', 'AQI', '47', 'PM2.5/1h', '66', 'PM10/1h', '1.5', 'CO/1h', '21', 'NO2/1h', '58', 'O3/1h', '58', 'O3/8h', '6', 'SO2/1h', '常德']
['64', 'AQI', '15', 'PM2.5/1h', '41', 'PM10/1h', '0.6', 'CO/1h', '12', 'NO2/1h', '112', 'O3/1h', '115', 'O3/8h', '6', 'SO2/1h', '昌都']
['29', 'AQI', '6', 'PM2.5/1h', '12', 'PM10/1h', '0.7', 'CO/1h', '11', 'NO2/1h', '86', 'O3/1h', '57', 'O3/8h', '8', 'SO2/1h', '昌都地区']
['58', 'AQI', '22', 'PM2.5/1h', '28', 'PM10/1h', '0.43', 'CO/1h', '9', 'NO2/1h', '132', 'O3/1h', '108', 'O3/8h', '8', 'SO2/1h', '昌吉州']
['61', 'AQI', '25', 'PM2.5/1h', '59', 'PM10/1h', '1.03', 'CO/1h', '34', 'NO2/1h', '101', 'O3/1h', '112', 'O3/8h', '9', 'SO2/1h', '长沙']
['96', 'AQI', '50', 'PM2.5/1h', '59', 'PM10/1h', '0.53', 'CO/1h', '28', 'NO2/1h', '166', 'O3/1h', '153', 'O3/8h', '25', 'SO2/1h', '常熟']
['81', 'AQI', '19', 'PM2.5/1h', '32', 'PM10/1h', '0.78', 'CO/1h', '14', 'NO2/1h', '135', 'O3/1h', '135', 'O3/8h', '7', 'SO2/1h', '长治']
['85', 'AQI', '45', 'PM2.5/1h', '74', 'PM10/1h', '0.86', 'CO/1h', '49', 'NO2/1h', '141', 'O3/1h', '140', 'O3/8h', '14', 'SO2/1h', '常州']
['106', 'AQI', '79', 'PM2.5/1h', '74', 'PM10/1h', '0.9', 'CO/1h', '18', 'NO2/1h', '98', 'O3/1h', '109', 'O3/8h', '9', 'SO2/1h', '朝阳']
['104', 'AQI', '33', 'PM2.5/1h', '70', 'PM10/1h', '0.8', 'CO/1h', '12', 'NO2/1h', '163', 'O3/1h', '163', 'O3/8h', '14', 'SO2/1h', '潮州']
['71', 'AQI', '26', 'PM2.5/1h', '49', 'PM10/1h', '0.62', 'CO/1h', '15', 'NO2/1h', '102', 'O3/1h', '123', 'O3/8h', '8', 'SO2/1h', '承德']
['83', 'AQI', '10', 'PM2.5/1h', '19', 'PM10/1h', '0.53', 'CO/1h', '20', 'NO2/1h', '134', 'O3/1h', '138', 'O3/8h', '7', 'SO2/1h', '成都']
['44', 'AQI', '8', 'PM2.5/1h', '33', 'PM10/1h', '1.3', 'CO/1h', '14', 'NO2/1h', '79', 'O3/1h', '86', 'O3/8h', '11', 'SO2/1h', '郴州']
['71', 'AQI', '26', 'PM2.5/1h', '54', 'PM10/1h', '0.4', 'CO/1h', '21', 'NO2/1h', '123', 'O3/1h', '123', 'O3/8h', '9', 'SO2/1h', '赤峰']
['42', 'AQI', '28', 'PM2.5/1h', '41', 'PM10/1h', '0.7', 'CO/1h', '28', 'NO2/1h', '71', 'O3/1h', '71', 'O3/8h', '7', 'SO2/1h', '池州']
['38', 'AQI', '21', 'PM2.5/1h', '37', 'PM10/1h', '0.81', 'CO/1h', '33', 'NO2/1h', '74', 'O3/1h', '74', 'O3/8h', '6', 'SO2/1h', '重庆']
['36', 'AQI', '12', 'PM2.5/1h', '24', 'PM10/1h', '0.7', 'CO/1h', '14', 'NO2/1h', '77', 'O3/1h', '70', 'O3/8h', '9', 'SO2/1h', '崇左']
['74', 'AQI', '21', 'PM2.5/1h', '51', 'PM10/1h', '0.4', 'CO/1h', '9', 'NO2/1h', '132', 'O3/1h', '127', 'O3/8h', '12', 'SO2/1h', '楚雄州']
['96', 'AQI', '55', 'PM2.5/1h', '140', 'PM10/1h', '1.03', 'CO/1h', '100', 'NO2/1h', '66', 'O3/1h', '85', 'O3/8h', '21', 'SO2/1h', '滁州']
['54', 'AQI', '27', 'PM2.5/1h', '50', 'PM10/1h', '0.58', 'CO/1h', '26', 'NO2/1h', '98', 'O3/1h', '103', 'O3/8h', '9', 'SO2/1h', '大连']
['77', 'AQI', '12', 'PM2.5/1h', '58', 'PM10/1h', '0.4', 'CO/1h', '12', 'NO2/1h', '137', 'O3/1h', '131', 'O3/8h', '4', 'SO2/1h', '大理州']
['64', 'AQI', '20', 'PM2.5/1h', '30', 'PM10/1h', '0.5', 'CO/1h', '13', 'NO2/1h', '106', 'O3/1h', '115', 'O3/8h', '11', 'SO2/1h', '丹东']
['70', 'AQI', '11', 'PM2.5/1h', '23', 'PM10/1h', '0.4', 'CO/1h', '19', 'NO2/1h', '112', 'O3/1h', '122', 'O3/8h', '9', 'SO2/1h', '大庆']
['98', 'AQI', '73', 'PM2.5/1h', '78', 'PM10/1h', '0.94', 'CO/1h', '24', 'NO2/1h', '108', 'O3/1h', '108', 'O3/8h', '16', 'SO2/1h', '大同']
['0', 'AQI', '0', 'PM2.5/1h', '0', 'PM10/1h', '0.0', 'CO/1h', '0', 'NO2/1h', '0', 'O3/1h', '0', 'O3/8h', '0', 'SO2/1h', '大兴安岭地']
['61', 'AQI', '11', 'PM2.5/1h', '15', 'PM10/1h', '0.45', 'CO/1h', '17', 'NO2/1h', '104', 'O3/1h', '112', 'O3/8h', '9', 'SO2/1h', '大兴安岭地区']
['47', 'AQI', '29', 'PM2.5/1h', '42', 'PM10/1h', '0.86', 'CO/1h', '26', 'NO2/1h', '104', 'O3/1h', '92', 'O3/8h', '9', 'SO2/1h', '达州']
['68', 'AQI', '26', 'PM2.5/1h', '84', 'PM10/1h', '0.35', 'CO/1h', '12', 'NO2/1h', '130', 'O3/1h', '120', 'O3/8h', '7', 'SO2/1h', '德宏州']
['70', 'AQI', '17', 'PM2.5/1h', '54', 'PM10/1h', '0.57', 'CO/1h', '20', 'NO2/1h', '172', 'O3/1h', '122', 'O3/8h', '9', 'SO2/1h', '德阳']
['106', 'AQI', '58', 'PM2.5/1h', '95', 'PM10/1h', '0.67', 'CO/1h', '13', 'NO2/1h', '165', 'O3/1h', '165', 'O3/8h', '10', 'SO2/1h', '德州']
['75', 'AQI', '16', 'PM2.5/1h', '57', 'PM10/1h', '0.15', 'CO/1h', '9', 'NO2/1h', '138', 'O3/1h', '128', 'O3/8h', '2', 'SO2/1h', '定西']
['64', 'AQI', '7', 'PM2.5/1h', '25', 'PM10/1h', '0.3', 'CO/1h', '8', 'NO2/1h', '111', 'O3/1h', '115', 'O3/8h', '9', 'SO2/1h', '迪庆州']
['84', 'AQI', '39', 'PM2.5/1h', '79', 'PM10/1h', '0.64', 'CO/1h', '52', 'NO2/1h', '106', 'O3/1h', '139', 'O3/8h', '8', 'SO2/1h', '东莞']
['76', 'AQI', '50', 'PM2.5/1h', '88', 'PM10/1h', '0.53', 'CO/1h', '19', 'NO2/1h', '129', 'O3/1h', '129', 'O3/8h', '15', 'SO2/1h', '东营']
['84', 'AQI', '14', 'PM2.5/1h', '51', 'PM10/1h', '0.4', 'CO/1h', '12', 'NO2/1h', '146', 'O3/1h', '139', 'O3/8h', '7', 'SO2/1h', '鄂尔多斯']
['48', 'AQI', '30', 'PM2.5/1h', '47', 'PM10/1h', '1.1', 'CO/1h', '32', 'NO2/1h', '61', 'O3/1h', '58', 'O3/8h', '5', 'SO2/1h', '恩施州']
['85', 'AQI', '62', 'PM2.5/1h', '80', 'PM10/1h', '1.15', 'CO/1h', '70', 'NO2/1h', '35', 'O3/1h', '43', 'O3/8h', '8', 'SO2/1h', '鄂州']
['30', 'AQI', '14', 'PM2.5/1h', '28', 'PM10/1h', '0.73', 'CO/1h', '16', 'NO2/1h', '54', 'O3/1h', '59', 'O3/8h', '12', 'SO2/1h', '防城港']
['58', 'AQI', '33', 'PM2.5/1h', '64', 'PM10/1h', '0.79', 'CO/1h', '54', 'NO2/1h', '61', 'O3/1h', '62', 'O3/8h', '8', 'SO2/1h', '佛山']
['47', 'AQI', '26', 'PM2.5/1h', '37', 'PM10/1h', '0.55', 'CO/1h', '18', 'NO2/1h', '96', 'O3/1h', '93', 'O3/8h', '15', 'SO2/1h', '抚顺']
['74', 'AQI', '37', 'PM2.5/1h', '95', 'PM10/1h', '0.56', 'CO/1h', '20', 'NO2/1h', '109', 'O3/1h', '87', 'O3/8h', '13', 'SO2/1h', '阜新']
['89', 'AQI', '66', 'PM2.5/1h', '82', 'PM10/1h', '0.83', 'CO/1h', '28', 'NO2/1h', '71', 'O3/1h', '76', 'O3/8h', '6', 'SO2/1h', '阜阳']
['56', 'AQI', '20', 'PM2.5/1h', '46', 'PM10/1h', '0.8', 'CO/1h', '41', 'NO2/1h', '92', 'O3/1h', '106', 'O3/8h', '7', 'SO2/1h', '富阳']
['56', 'AQI', '17', 'PM2.5/1h', '36', 'PM10/1h', '0.55', 'CO/1h', '21', 'NO2/1h', '105', 'O3/1h', '105', 'O3/8h', '5', 'SO2/1h', '福州']
['43', 'AQI', '22', 'PM2.5/1h', '34', 'PM10/1h', '0.88', 'CO/1h', '13', 'NO2/1h', '85', 'O3/1h', '85', 'O3/8h', '6', 'SO2/1h', '抚州']
['82', 'AQI', '8', 'PM2.5/1h', '45', 'PM10/1h', '1.0', 'CO/1h', '17', 'NO2/1h', '136', 'O3/1h', '137', 'O3/8h', '8', 'SO2/1h', '甘南州']
['43', 'AQI', '22', 'PM2.5/1h', '38', 'PM10/1h', '1.45', 'CO/1h', '12', 'NO2/1h', '65', 'O3/1h', '84', 'O3/8h', '9', 'SO2/1h', '赣州']
['51', 'AQI', '19', 'PM2.5/1h', '50', 'PM10/1h', '0.4', 'CO/1h', '9', 'NO2/1h', '47', 'O3/1h', '41', 'O3/8h', '5', 'SO2/1h', '甘孜藏族自治州']
['59', 'AQI', '18', 'PM2.5/1h', '25', 'PM10/1h', '0.2', 'CO/1h', '7', 'NO2/1h', '109', 'O3/1h', '109', 'O3/8h', '12', 'SO2/1h', '甘孜州']
['51', 'AQI', '16', 'PM2.5/1h', '26', 'PM10/1h', '0.7', 'CO/1h', '11', 'NO2/1h', '100', 'O3/1h', '100', 'O3/8h', '4', 'SO2/1h', '广安']
['59', 'AQI', '8', 'PM2.5/1h', '38', 'PM10/1h', '0.38', 'CO/1h', '15', 'NO2/1h', '110', 'O3/1h', '109', 'O3/8h', '12', 'SO2/1h', '广元']
['54', 'AQI', '26', 'PM2.5/1h', '56', 'PM10/1h', '0.66', 'CO/1h', '50', 'NO2/1h', '76', 'O3/1h', '96', 'O3/8h', '8', 'SO2/1h', '广州']
['32', 'AQI', '13', 'PM2.5/1h', '25', 'PM10/1h', '0.83', 'CO/1h', '22', 'NO2/1h', '62', 'O3/1h', '63', 'O3/8h', '8', 'SO2/1h', '贵港']
['58', 'AQI', '40', 'PM2.5/1h', '50', 'PM10/1h', '1.1', 'CO/1h', '35', 'NO2/1h', '32', 'O3/1h', '42', 'O3/8h', '9', 'SO2/1h', '桂林']
['52', 'AQI', '26', 'PM2.5/1h', '51', 'PM10/1h', '0.69', 'CO/1h', '20', 'NO2/1h', '75', 'O3/1h', '62', 'O3/8h', '6', 'SO2/1h', '贵阳']
['112', 'AQI', '44', 'PM2.5/1h', '172', 'PM10/1h', '0.4', 'CO/1h', '8', 'NO2/1h', '138', 'O3/1h', '130', 'O3/8h', '8', 'SO2/1h', '果洛州']
['75', 'AQI', '17', 'PM2.5/1h', '64', 'PM10/1h', '0.37', 'CO/1h', '11', 'NO2/1h', '131', 'O3/1h', '128', 'O3/8h', '5', 'SO2/1h', '固原']
['71', 'AQI', '25', 'PM2.5/1h', '56', 'PM10/1h', '0.53', 'CO/1h', '24', 'NO2/1h', '124', 'O3/1h', '124', 'O3/8h', '5', 'SO2/1h', '哈尔滨']
['75', 'AQI', '25', 'PM2.5/1h', '94', 'PM10/1h', '0.8', 'CO/1h', '3', 'NO2/1h', '132', 'O3/1h', '128', 'O3/8h', '15', 'SO2/1h', '海北州']
['82', 'AQI', '33', 'PM2.5/1h', '68', 'PM10/1h', '0.6', 'CO/1h', '16', 'NO2/1h', '137', 'O3/1h', '137', 'O3/8h', '7', 'SO2/1h', '海东地区']
['27', 'AQI', '7', 'PM2.5/1h', '26', 'PM10/1h', '0.46', 'CO/1h', '10', 'NO2/1h', '27', 'O3/1h', '36', 'O3/8h', '3', 'SO2/1h', '海口']
['65', 'AQI', '25', 'PM2.5/1h', '55', 'PM10/1h', '0.5', 'CO/1h', '22', 'NO2/1h', '112', 'O3/1h', '116', 'O3/8h', '8', 'SO2/1h', '海门']
['82', 'AQI', '34', 'PM2.5/1h', '111', 'PM10/1h', '0.6', 'CO/1h', '5', 'NO2/1h', '104', 'O3/1h', '99', 'O3/8h', '7', 'SO2/1h', '海南州']
['108', 'AQI', '36', 'PM2.5/1h', '164', 'PM10/1h', '0.4', 'CO/1h', '8', 'NO2/1h', '120', 'O3/1h', '111', 'O3/8h', '17', 'SO2/1h', '海西州']
['84', 'AQI', '20', 'PM2.5/1h', '116', 'PM10/1h', '0.3', 'CO/1h', '13', 'NO2/1h', '148', 'O3/1h', '135', 'O3/8h', '4', 'SO2/1h', '哈密地区']
['93', 'AQI', '67', 'PM2.5/1h', '120', 'PM10/1h', '0.65', 'CO/1h', '19', 'NO2/1h', '159', 'O3/1h', '150', 'O3/8h', '7', 'SO2/1h', '邯郸']
['102', 'AQI', '34', 'PM2.5/1h', '62', 'PM10/1h', '0.76', 'CO/1h', '32', 'NO2/1h', '170', 'O3/1h', '161', 'O3/8h', '9', 'SO2/1h', '杭州']
['68', 'AQI', '11', 'PM2.5/1h', '44', 'PM10/1h', '0.43', 'CO/1h', '9', 'NO2/1h', '143', 'O3/1h', '120', 'O3/8h', '7', 'SO2/1h', '汉中']
['91', 'AQI', '60', 'PM2.5/1h', '86', 'PM10/1h', '0.87', 'CO/1h', '26', 'NO2/1h', '163', 'O3/1h', '148', 'O3/8h', '11', 'SO2/1h', '鹤壁']
['35', 'AQI', '18', 'PM2.5/1h', '34', 'PM10/1h', '1.0', 'CO/1h', '19', 'NO2/1h', '52', 'O3/1h', '51', 'O3/8h', '6', 'SO2/1h', '河池']
['88', 'AQI', '65', 'PM2.5/1h', '107', 'PM10/1h', '0.92', 'CO/1h', '41', 'NO2/1h', '128', 'O3/1h', '132', 'O3/8h', '8', 'SO2/1h', '合肥']
['63', 'AQI', '9', 'PM2.5/1h', '24', 'PM10/1h', '0.38', 'CO/1h', '7', 'NO2/1h', '118', 'O3/1h', '114', 'O3/8h', '6', 'SO2/1h', '鹤岗']
['61', 'AQI', '8', 'PM2.5/1h', '12', 'PM10/1h', '0.4', 'CO/1h', '7', 'NO2/1h', '117', 'O3/1h', '112', 'O3/8h', '5', 'SO2/1h', '黑河']
['99', 'AQI', '40', 'PM2.5/1h', '58', 'PM10/1h', '0.5', 'CO/1h', '10', 'NO2/1h', '165', 'O3/1h', '157', 'O3/8h', '6', 'SO2/1h', '衡水']
['60', 'AQI', '23', 'PM2.5/1h', '67', 'PM10/1h', '0.96', 'CO/1h', '28', 'NO2/1h', '46', 'O3/1h', '82', 'O3/8h', '11', 'SO2/1h', '衡阳']
['116', 'AQI', '56', 'PM2.5/1h', '179', 'PM10/1h', '0.15', 'CO/1h', '10', 'NO2/1h', '106', 'O3/1h', '95', 'O3/8h', '4', 'SO2/1h', '和田地区']
['49', 'AQI', '29', 'PM2.5/1h', '40', 'PM10/1h', '0.8', 'CO/1h', '15', 'NO2/1h', '82', 'O3/1h', '96', 'O3/8h', '5', 'SO2/1h', '河源']
['69', 'AQI', '47', 'PM2.5/1h', '85', 'PM10/1h', '1.27', 'CO/1h', '31', 'NO2/1h', '94', 'O3/1h', '103', 'O3/8h', '5', 'SO2/1h', '菏泽']
['52', 'AQI', '34', 'PM2.5/1h', '51', 'PM10/1h', '0.85', 'CO/1h', '16', 'NO2/1h', '73', 'O3/1h', '57', 'O3/8h', '11', 'SO2/1h', '贺州']
['73', 'AQI', '25', 'PM2.5/1h', '62', 'PM10/1h', '0.43', 'CO/1h', '7', 'NO2/1h', '126', 'O3/1h', '126', 'O3/8h', '6', 'SO2/1h', '红河州']
['75', 'AQI', '54', 'PM2.5/1h', '66', 'PM10/1h', '0.76', 'CO/1h', '35', 'NO2/1h', '49', 'O3/1h', '59', 'O3/8h', '6', 'SO2/1h', '淮安']
['63', 'AQI', '44', 'PM2.5/1h', '38', 'PM10/1h', '0.87', 'CO/1h', '26', 'NO2/1h', '77', 'O3/1h', '96', 'O3/8h', '11', 'SO2/1h', '淮北']
['67', 'AQI', '44', 'PM2.5/1h', '82', 'PM10/1h', '1.6', 'CO/1h', '18', 'NO2/1h', '45', 'O3/1h', '56', 'O3/8h', '9', 'SO2/1h', '怀化']
['104', 'AQI', '77', 'PM2.5/1h', '99', 'PM10/1h', '0.88', 'CO/1h', '26', 'NO2/1h', '77', 'O3/1h', '77', 'O3/8h', '15', 'SO2/1h', '淮南']
['73', 'AQI', '49', 'PM2.5/1h', '93', 'PM10/1h', '1.05', 'CO/1h', '23', 'NO2/1h', '66', 'O3/1h', '66', 'O3/8h', '8', 'SO2/1h', '黄冈']
['64', 'AQI', '25', 'PM2.5/1h', '54', 'PM10/1h', '0.9', 'CO/1h', '6', 'NO2/1h', '124', 'O3/1h', '115', 'O3/8h', '7', 'SO2/1h', '黄南州']
['58', 'AQI', '32', 'PM2.5/1h', '63', 'PM10/1h', '0.63', 'CO/1h', '11', 'NO2/1h', '68', 'O3/1h', '77', 'O3/8h', '9', 'SO2/1h', '黄山']
['83', 'AQI', '61', 'PM2.5/1h', '82', 'PM10/1h', '1.14', 'CO/1h', '47', 'NO2/1h', '45', 'O3/1h', '35', 'O3/8h', '11', 'SO2/1h', '黄石']
['89', 'AQI', '23', 'PM2.5/1h', '69', 'PM10/1h', '0.75', 'CO/1h', '20', 'NO2/1h', '148', 'O3/1h', '145', 'O3/8h', '11', 'SO2/1h', '呼和浩特']
['51', 'AQI', '26', 'PM2.5/1h', '48', 'PM10/1h', '0.56', 'CO/1h', '18', 'NO2/1h', '88', 'O3/1h', '100', 'O3/8h', '7', 'SO2/1h', '惠州']
['61', 'AQI', '26', 'PM2.5/1h', '55', 'PM10/1h', '0.85', 'CO/1h', '20', 'NO2/1h', '110', 'O3/1h', '111', 'O3/8h', '7', 'SO2/1h', '葫芦岛']
['58', 'AQI', '7', 'PM2.5/1h', '39', 'PM10/1h', '0.3', 'CO/1h', '9', 'NO2/1h', '108', 'O3/1h', '108', 'O3/8h', '3', 'SO2/1h', '呼伦贝尔']
['91', 'AQI', '60', 'PM2.5/1h', '94', 'PM10/1h', '0.99', 'CO/1h', '52', 'NO2/1h', '152', 'O3/1h', '148', 'O3/8h', '16', 'SO2/1h', '湖州']
['57', 'AQI', '8', 'PM2.5/1h', '18', 'PM10/1h', '0.33', 'CO/1h', '10', 'NO2/1h', '105', 'O3/1h', '107', 'O3/8h', '3', 'SO2/1h', '佳木斯']
['51', 'AQI', '19', 'PM2.5/1h', '33', 'PM10/1h', '0.57', 'CO/1h', '5', 'NO2/1h', '94', 'O3/1h', '100', 'O3/8h', '9', 'SO2/1h', '吉安']
['59', 'AQI', '25', 'PM2.5/1h', '65', 'PM10/1h', '0.78', 'CO/1h', '20', 'NO2/1h', '79', 'O3/1h', '67', 'O3/8h', '5', 'SO2/1h', '江门']
['119', 'AQI', '44', 'PM2.5/1h', '98', 'PM10/1h', '0.8', 'CO/1h', '44', 'NO2/1h', '182', 'O3/1h', '179', 'O3/8h', '12', 'SO2/1h', '江阴']
['56', 'AQI', '14', 'PM2.5/1h', '22', 'PM10/1h', '0.35', 'CO/1h', '9', 'NO2/1h', '111', 'O3/1h', '105', 'O3/8h', '6', 'SO2/1h', '胶南']
['48', 'AQI', '24', 'PM2.5/1h', '28', 'PM10/1h', '0.85', 'CO/1h', '23', 'NO2/1h', '100', 'O3/1h', '94', 'O3/8h', '6', 'SO2/1h', '胶州']
['92', 'AQI', '68', 'PM2.5/1h', '98', 'PM10/1h', '1.2', 'CO/1h', '18', 'NO2/1h', '142', 'O3/1h', '141', 'O3/8h', '9', 'SO2/1h', '焦作']
['104', 'AQI', '26', 'PM2.5/1h', '54', 'PM10/1h', '0.93', 'CO/1h', '30', 'NO2/1h', '153', 'O3/1h', '163', 'O3/8h', '9', 'SO2/1h', '嘉兴']
['492', 'AQI', '110', 'PM2.5/1h', '591', 'PM10/1h', '0.3', 'CO/1h', '5', 'NO2/1h', '124', 'O3/1h', '124', 'O3/8h', '2', 'SO2/1h', '嘉峪关']
['121', 'AQI', '37', 'PM2.5/1h', '85', 'PM10/1h', '0.93', 'CO/1h', '24', 'NO2/1h', '161', 'O3/1h', '181', 'O3/8h', '11', 'SO2/1h', '揭阳']
['111', 'AQI', '36', 'PM2.5/1h', '89', 'PM10/1h', '0.93', 'CO/1h', '18', 'NO2/1h', '148', 'O3/1h', '171', 'O3/8h', '9', 'SO2/1h', '吉林']
['49', 'AQI', '32', 'PM2.5/1h', '45', 'PM10/1h', '0.5', 'CO/1h', '19', 'NO2/1h', '95', 'O3/1h', '96', 'O3/8h', '3', 'SO2/1h', '即墨']
['81', 'AQI', '59', 'PM2.5/1h', '110', 'PM10/1h', '0.7', 'CO/1h', '31', 'NO2/1h', '134', 'O3/1h', '123', 'O3/8h', '10', 'SO2/1h', '济南']
['91', 'AQI', '20', 'PM2.5/1h', '129', 'PM10/1h', '0.3', 'CO/1h', '7', 'NO2/1h', '134', 'O3/1h', '135', 'O3/8h', '3', 'SO2/1h', '金昌']
['73', 'AQI', '31', 'PM2.5/1h', '54', 'PM10/1h', '1.0', 'CO/1h', '24', 'NO2/1h', '124', 'O3/1h', '126', 'O3/8h', '10', 'SO2/1h', '晋城']
